epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,658.683,0.85429,1.39322,1.07873,0.01006,0.35913,0.73693,0.56064,0.60471,0.47433,0.71871,0.55118,0.58762,0.41436,0.79726,1.37565,1.61962,0.01001,0,1e-05,1e-05,1e-05
2,1298.16,0.85503,1.39377,1.08086,0.01001,0.35678,0.74404,0.55169,0.6043,0.47362,0.73035,0.54017,0.58698,0.41415,0.79785,1.36858,1.64472,0.01008,0,9.75773e-06,9.75773e-06,9.75773e-06
3,1937.39,0.85957,1.40317,1.08289,0.01001,0.35699,0.74999,0.55057,0.60448,0.47388,0.73936,0.5436,0.58967,0.41563,0.79571,1.35691,1.63702,0.01003,0,9.05463e-06,9.05463e-06,9.05463e-06
4,2576.34,0.84835,1.37428,1.0677,0.0098,0.35279,0.74958,0.54913,0.60709,0.47643,0.74176,0.54188,0.59217,0.41763,0.79599,1.36437,1.6307,0.01004,0,7.95954e-06,7.95954e-06,7.95954e-06
5,3216.22,0.84589,1.37124,1.06385,0.00975,0.3576,0.7397,0.55337,0.60559,0.47511,0.72863,0.54558,0.59064,0.41584,0.79697,1.36287,1.61265,0.01007,0,6.57963e-06,6.57963e-06,6.57963e-06
6,3858.51,0.84446,1.37345,1.0666,0.00977,0.34803,0.73737,0.55897,0.60678,0.47534,0.74367,0.54153,0.59158,0.41724,0.79555,1.35558,1.63317,0.01003,0,5.05e-06,5.05e-06,5.05e-06
7,4493.71,0.84722,1.37935,1.07446,0.01001,0.35419,0.74085,0.55898,0.6059,0.476,0.7342,0.54764,0.59081,0.41764,0.79574,1.35169,1.59286,0.01002,0,3.52037e-06,3.52037e-06,3.52037e-06
8,5128.4,0.85093,1.38316,1.07607,0.00991,0.35222,0.72257,0.57147,0.60653,0.47656,0.73214,0.5404,0.59114,0.4179,0.79529,1.36127,1.64125,0.01002,0,2.14046e-06,2.14046e-06,2.14046e-06
9,5757.98,0.84088,1.36822,1.06681,0.00993,0.35435,0.74151,0.55455,0.6058,0.4752,0.73712,0.53871,0.58975,0.41582,0.79625,1.36093,1.58171,0.01004,0,1.04537e-06,1.04537e-06,1.04537e-06
10,6384.54,0.8473,1.38367,1.06902,0.00988,0.35416,0.74679,0.55195,0.60642,0.47609,0.7354,0.5442,0.59092,0.41719,0.79495,1.3521,1.61993,0.01,0,3.4227e-07,3.4227e-07,3.4227e-07
