epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,775.476,0.89401,1.46012,1.16048,0.0107,0.40107,0.70207,0.52911,0.57594,0.44285,0.69679,0.51594,0.55694,0.38682,0.82861,1.42961,1.62987,0.01062,0,0.0001,0.0001,0.0001
2,1528.12,0.89207,1.44992,1.14259,0.01063,0.38832,0.71009,0.53955,0.58448,0.45037,0.69689,0.53107,0.56763,0.39488,0.82539,1.40957,1.54515,0.01055,0,9.75773e-05,9.75773e-05,9.75773e-05
3,2313.74,0.88315,1.45108,1.14634,0.01057,0.38652,0.73048,0.53974,0.59255,0.45787,0.73467,0.52537,0.57499,0.40242,0.82038,1.39835,1.78888,0.01037,0,9.05463e-05,9.05463e-05,9.05463e-05
4,3065,0.87401,1.42712,1.13005,0.01026,0.38259,0.70964,0.55905,0.59213,0.46107,0.69394,0.54909,0.57416,0.40585,0.81316,1.37747,1.73269,0.01034,0,7.95954e-05,7.95954e-05,7.95954e-05
5,3812.8,0.8667,1.40853,1.11685,0.01027,0.37902,0.73935,0.54896,0.59448,0.46456,0.7355,0.53638,0.57691,0.40505,0.81176,1.4175,1.62084,0.01024,0,6.57963e-05,6.57963e-05,6.57963e-05
6,4561.1,0.865,1.40902,1.10662,0.01021,0.36902,0.7457,0.55159,0.59775,0.46456,0.73308,0.54353,0.58151,0.40677,0.81143,1.3896,1.57103,0.01027,0,5.05e-05,5.05e-05,5.05e-05
7,5315.17,0.86121,1.40743,1.10081,0.01019,0.37215,0.7314,0.55368,0.60012,0.47066,0.72004,0.54647,0.58364,0.41079,0.80017,1.40587,1.62347,0.01,0,3.52037e-05,3.52037e-05,3.52037e-05
8,6087.2,0.86389,1.40101,1.09259,0.01013,0.36421,0.73477,0.55214,0.60142,0.47113,0.72185,0.54406,0.58571,0.41048,0.80182,1.37599,1.59411,0.0101,0,2.14046e-05,2.14046e-05,2.14046e-05
9,6832.59,0.85542,1.39569,1.09314,0.01002,0.36165,0.73405,0.55718,0.60276,0.47231,0.73207,0.53927,0.58645,0.41201,0.80012,1.38331,1.49341,0.01012,0,1.04537e-05,1.04537e-05,1.04537e-05
10,7575.44,0.85314,1.38014,1.08204,0.00999,0.36137,0.73418,0.5556,0.60349,0.4732,0.71785,0.5471,0.58635,0.41293,0.79947,1.38083,1.58794,0.01012,0,3.4227e-06,3.4227e-06,3.4227e-06
